land_id,citizen_id,area_acres,crop_type
01JJGSF50YFCG5JZ4JK2W7SBMB,10,2,rice
01JJGSF5104X1GB1EWYNV79Z6M,38,2,rice
01JJGSF510E9MSVT74EAVPH5CK,18,6,wheat
01JJGSF510KXETE500DDBMGD3X,96,10,rice
01JJGSF51179WVMJSK4BKBNW27,71,10,corn
01JJGSF51171259NXTW091QTR2,63,3,rice
01JJGSF511PK5624A225J7991M,83,8,corn
01JJGSF512J5NRR8MQZC9FE5T2,57,3,cotton
01JJGSF512TT7K1YMA76S0YYX3,88,6,cotton
01JJGSF5130DKHC9HFD0B1T32W,66,5,cotton
01JJGSF514V14TX3WVEPA50HN2,37,9,rice
01JJGSF5148ETSGT546YDJR95N,55,10,corn
01JJGSF5147W7KXCXHKD7SPQHH,73,10,corn
01JJGSF51505FWQ8QMQAQ21KDF,1,5,corn
01JJGSF515RJM9TBJMWW5PB6TA,4,3,rice
01JJGSF5154CA8BJ4MWDJFV8TS,56,3,cotton
01JJGSF516GKG52XFDB7WRGKD3,77,1,wheat
01JJGSF5160GRE4H9PMQZYA179,13,4,cotton
01JJGSF517J1SFSZ35TNAZTGBK,79,4,corn
01JJGSF517YZKMWB5EMWR0G8NV,27,7,wheat
01JJGSF517V6Z83DGDBATJKHYD,54,3,rice
01JJGSF51875XP2WMYR59EPWC5,71,5,cotton
01JJGSF5184TVBYRFY7W7K6H0N,39,8,wheat
01JJGSF51989X5HE6FKFK1Z9VD,97,2,wheat
01JJGSF519C9R70786HAHJJJGH,48,1,corn
01JJGSF519T93G5EXGDQGP2FV7,92,5,cotton
01JJGSF51AYZJGFS33XPMN3NX2,99,2,rice
01JJGSF51AV8GKEH66P9SS82HS,50,10,rice
01JJGSF51A41SYGTK4RMNR964Q,78,10,rice
01JJGSF51BVA5MY1DMDB2KXZE2,83,9,rice
01JJGSF51B85JQ8WB365DQ7VFK,33,4,cotton
01JJGSF51CJXT1AAD56YXCKEH6,78,5,cotton
01JJGSF51CDWB020MSQT6KB4F0,3,7,corn
01JJGSF51DYZ88DWTM7Q6BXJG6,63,6,wheat
01JJGSF51D9ATMW19XRCT9V2PR,27,7,wheat
01JJGSF51EKXHS0J8PNGRRZQ5M,73,10,rice
01JJGSF51ENJ2D3BH6PMA1YHGW,35,8,wheat
01JJGSF51ENFT8AA3RCN24PHDN,1,1,corn
01JJGSF51F3TXPPTP50TEPDRXT,36,7,wheat
01JJGSF51GD409EZFM4KPE2TB5,25,10,rice
01JJGSF51GQ9M6WK3KFRM740NV,17,9,rice
01JJGSF51HKAD49X3C1TXC5F9M,15,10,cotton
01JJGSF51HJQE7XWSCMM95PRES,63,3,corn
01JJGSF51HR1RN3KVWG5FF02ZK,81,8,corn
